name,ra,dec,redshift,mag_r,flag,N_g,N_r,N_i,N_z
J003426.66-422808.01,8.61108,-42.4689,1.619,20.859,QQ,109,68,60,173
J003428.32-432337.51,8.61799,-43.3938,1.701,22.3096,Q,202,208,209,335
J003429.28-432409.74,8.62202,-43.4027,1.065,21.4039,Q,220,231,232,452
J003430.47-433311.41,8.62696,-43.5532,2.415,20.487,QQ,220,232,234,461
J003430.95-433500.76,8.62898,-43.5835,1.146,22.1686,Q,157,199,192,378
J003431.42-434112.61,8.63091,-43.6868,1.583,23.0482,Q,75,94,113,114
J003432.44-431939.56,8.63517,-43.3277,1.074,23.0835,Q,18,37,44,124
J003433.01-423342.29,8.63754,-42.5617,1.559,20.384,QQ,110,118,123,235
J003435.26-441127.88,8.64692,-44.1911,0.931,19.338,QQ,110,112,110,222
J003435.75-434632.04,8.64894,-43.7756,1.985,22.3759,Q,132,150,150,314
J003436.77-433845.86,8.6532,-43.6461,1.178,21.8064,Q,96,156,166,321
J003436.78-440043.38,8.65325,-44.0121,2.335,19.407,QQ,48,70,71,152
J003437.73-424318.40,8.65721,-42.7218,0.914,18.698,QQ,113,119,124,237
J003444.53-433749.12,8.68554,-43.6303,1.153,19.719,QQ,227,240,235,474
J003448.83-442519.31,8.70346,-44.422,2.239,19.977,QQ,114,117,115,234
J003450.50-431651.46,8.71043,-43.281,2.33,22.3804,Q,206,210,212,385
J003452.03-431928.49,8.71679,-43.3246,1.302,21.553,QQ,102,115,115,214
J003452.22-434614.02,8.71758,-43.7706,1.145,20.366,QQ,219,230,227,445
J003453.38-431802.41,8.7224,-43.3007,1.075,21.0193,Q,124,125,123,240
J003454.09-425716.19,8.72538,-42.9545,1.627,20.28,QQ,115,121,122,237
J003454.81-434050.39,8.72838,-43.6807,1.34,20.0177,Q,114,123,119,235
J003454.91-423607.31,8.72879,-42.602,0.872,20.176,QQ,20,30,46,93
J003455.12-433544.64,8.72966,-43.5957,2.67,21.6771,Q,200,217,225,455
J003501.58-425344.31,8.75658,-42.8956,1.627,19.547,QQ,113,124,121,238
J003502.50-433419.57,8.7604,-43.5721,1.594,21.1681,Q,220,233,232,467
J003503.37-434804.56,8.76404,-43.8013,1.16,22.2042,Q,103,115,109,209
J003503.92-432847.00,8.76633,-43.4797,1.108,21.585,Q,194,140,124,292
J003503.95-434208.89,8.76647,-43.7025,1.408,22.2983,Q,99,110,112,202
J003504.52-434107.19,8.76883,-43.6853,2.316,20.519,QQ,115,121,116,239
J003508.13-430812.89,8.78386,-43.1369,1.464,21.9716,Q,106,117,117,221
J003509.65-433917.51,8.79019,-43.6549,1.181,20.978,Q,135,148,156,340
J003515.23-434110.41,8.81347,-43.6862,1.784,21.2081,Q,118,120,118,239
J003516.08-432451.81,8.817,-43.4144,2.242,19.361,QQ,222,240,236,469
J003520.36-433243.17,8.83484,-43.5453,1.842,22.5068,Q,199,213,220,385
J003523.93-431637.64,8.8497,-43.2771,1.319,23.5092,Q,58,129,128,180
J003526.97-434359.74,8.86238,-43.7333,1.324,22.143,Q,108,116,110,215
J003527.55-433835.70,8.86479,-43.6432,2.267,22.337,QQ,174,211,220,454
J003527.80-443411.39,8.86583,-44.5698,0.869,19.673,QQ,117,121,120,243
J003530.07-444539.89,8.87529,-44.7611,2.58,19.838,QQ,118,62,21,80
J003533.74-432135.69,8.89058,-43.3599,1.292,22.8807,Q,162,196,210,391
J003536.47-431644.81,8.90194,-43.2791,2.641,23.4492,Q,87,129,94,116
J003536.95-443104.41,8.90396,-44.5179,1.131,19.544,QQ,118,118,121,239
J003540.02-435056.40,8.91673,-43.849,1.331,23.2065,Q,101,97,96,141
J003544.87-433119.86,8.93695,-43.5222,0.816,19.7393,Q,119,120,117,217
J003547.38-430558.81,8.94742,-43.0997,2.577,19.908,QQ,132,148,158,333
J003548.19-434608.01,8.95079,-43.7689,1.692,20.709,QQ,116,117,115,237
J003548.43-431444.41,8.95179,-43.2457,1.669,19.948,QQ,228,238,235,472
J003549.05-440236.10,8.95438,-44.0434,2.072,18.981,QQ,115,119,119,240
J003549.87-424526.31,8.95779,-42.7573,1.209,19.98,QQ,113,124,124,240
J003554.16-433418.62,8.97567,-43.5718,1.22,21.2798,Q,112,119,119,225
J003602.98-433442.13,9.01243,-43.5784,1.657,22.3449,Q,104,114,16,13
J003604.09-431752.54,9.01703,-43.2979,1.225,22.8908,Q,138,191,208,409
J003607.00-433435.18,9.02917,-43.5764,0.638,20.271,QQ,90,26,11,8
J003611.08-430853.67,9.04616,-43.1482,1.602,23.7167,Q,28,81,126,140
J003614.98-441343.78,9.06242,-44.2288,1.925,20.225,QQ,10,8,8,10
J003615.88-425711.41,9.06617,-42.9532,1.988,20.158,QQ,6,6,12,6
J003616.69-430934.60,9.06954,-43.1596,1.58,21.936,QQ,52,64,85,233
J003618.56-431320.71,9.07733,-43.2224,1.33,20.4907,Q,92,122,127,235
J003621.41-435139.09,9.08921,-43.8609,1.501,19.99,QQ,113,119,115,235
J003622.09-431903.37,9.09204,-43.3176,1.334,22.6257,Q,122,174,186,332
J003622.91-431149.69,9.09544,-43.1971,2.767,22.1556,Q,192,218,226,423
J003626.44-430820.69,9.11017,-43.1391,1.905,20.03,QQ,228,237,242,474
J003630.36-433710.32,9.12651,-43.6195,2.205,21.063,Q,112,118,117,235
J003631.09-431344.91,9.12955,-43.2291,3.369,21.2407,Q,221,235,233,447
